StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2_1,Q3,Q4_1,Q5,Q8_1,Q8_2,Q8_3,Q11,Q12,Q13,Q14_1,Q15,Q16,Q16_3_TEXT,InstagramVersion,MenuVersion,Q12 - Topics,Q12 - Parent Topics,Q12 - Topic Hierarchy Level 1
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,How much do you agree with the following statement? - I value quality over price when looking at restaurant options.,Which of the following factors would most likely influence you to visit a restaurant? (Pick One),How much do you agree with the following statement? - I am more likely to visit a restaurant if I see a social media exclusive discount online,Do you follow any restaurants on social media?,Please indicate how much you agree with the following questions based on the post above. - This advertisement would stand out to me,Please indicate how much you agree with the following questions based on the post above. - This advertisement is visually appealing to me,Please indicate how much you agree with the following questions based on the post above. - This advertisement would influence me to come to Tacovore,What would you be willing to spend for your order?,What would you order?,"In a sentence or two, please describe how you feel about the options available on Tacovore's menu.",On average how many days a week do you eat out? - Number days,What year student are you?,What gender do you identify with? - Selected Choice,What gender do you identify with? - Other - Text,InstagramVersion,MenuVersion,Q12 - Topics,Q12 - Parent Topics,Q12 - Topic Hierarchy Level 1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID53""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_3_TEXT""}","{""ImportId"":""InstagramVersion""}","{""ImportId"":""MenuVersion""}","{""ImportId"":""QID52_TEXT_cc5170ee_ei8dkr5odfv3Topics""}","{""ImportId"":""QID52_TEXT_cc5170ee_ei8dkr5odfv3ParTopics""}","{""ImportId"":""QID52_TEXT_cc5170ee_ei8dkr5odfv3TopicHierarchy1""}"
2024-10-31 12:31:15,2024-10-31 12:33:25,Survey Preview,100,129,True,2024-10-31 12:33:25,R_1j8lNbuFLlIbh5c,preview,EN,Somewhat agree,Special promotions or discounts.,,,Somewhat disagree,Somewhat agree,Somewhat disagree,,,,1,3rd Year,Male,,A,B,,,
2024-10-31 12:34:41,2024-10-31 12:35:13,Survey Preview,100,32,True,2024-10-31 12:35:14,R_1PpfJ28orPzUKJg,preview,EN,Somewhat disagree,Special promotions or discounts.,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,,,,3rd Year,Male,,B,A,,,
2024-10-31 13:31:42,2024-10-31 13:33:13,Survey Preview,100,91,True,2024-10-31 13:33:14,R_3lWChe4BEalI69F,preview,EN,Somewhat disagree,Special promotions or discounts.,,,Somewhat disagree,Strongly disagree,Somewhat disagree,,,Expensive,2,3rd Year,Male,,B,B,,,
2024-11-06 16:14:42,2024-11-06 16:15:57,Survey Preview,100,74,True,2024-11-06 16:15:57,R_1CVMlEtXj4senyb,preview,EN,Neither agree nor disagree,Opportunities to try a wider variety of food options.,,,Somewhat disagree,Strongly agree,Somewhat disagree,2,,exspensive,4,3rd Year,Male,,B,B,,,
2024-11-08 09:41:42,2024-11-08 09:42:56,IP Address,100,73,True,2024-11-08 09:42:57,R_7CTwzOq3KYqdPgu,anonymous,EN,Somewhat agree,Special promotions or discounts.,Agree,No,Somewhat agree,Strongly agree,Strongly agree,15,Tacos,Lots of different tacos,2,3rd Year,Male,,A,B,Unknown,,
2024-11-08 10:41:19,2024-11-08 10:44:37,IP Address,100,197,True,2024-11-08 10:44:38,R_3QlBCfzp87rQFg4,anonymous,EN,Agree,Seeing a targeted advertisement on social media.,Neither agree nor disagree,No,Strongly disagree,Strongly disagree,Strongly disagree,15,"Grilled Chicken, Old E, Mole Verde",They look good but also tacos I could just make at home,2,3rd Year,Female,,A,A,Unknown,,
2024-11-08 10:41:32,2024-11-08 10:44:42,IP Address,100,189,True,2024-11-08 10:44:42,R_7qxtCpidZinV6sn,anonymous,EN,Agree,Opportunities to try a wider variety of food options.,Neither agree nor disagree,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,15,"3 ish separate tacos ",Very well spread healthy and accesable,1,3rd Year,Male,,B,B,Unknown,,
2024-11-08 10:43:29,2024-11-08 10:46:00,IP Address,100,151,True,2024-11-08 10:46:01,R_5i3lJzLrQYqR7XP,anonymous,EN,Somewhat disagree,Special promotions or discounts.,Agree,Yes,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,13,Mix and match tacos,It looks like there is a good amount of options for people who like different kinds of food,2,3rd Year,Male,,B,A,Unknown,,
2024-11-08 10:41:36,2024-11-08 10:46:20,IP Address,100,284,True,2024-11-08 10:46:20,R_1by3x0XLLO48Q7f,anonymous,EN,Neither agree nor disagree,Special promotions or discounts.,Disagree,No,Somewhat agree,Strongly agree,Somewhat agree,13,3 mix and match tacos,Good descriptions and mix of food. The lettering makes ordering simple,2,3rd Year,Male,,A,A,Unknown,,
2024-11-08 10:51:01,2024-11-08 10:52:17,IP Address,100,75,True,2024-11-08 10:52:17,R_1nx84J3g6tJ0lxk,anonymous,EN,Strongly agree,Special promotions or discounts.,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,20,Steak tacos,"Very diverse ",2,5+ Years,Male,,B,B,Unknown,,
2024-11-08 11:06:13,2024-11-08 11:08:06,IP Address,100,112,True,2024-11-08 11:08:06,R_35YDDa6PsSTsWLy,anonymous,EN,Agree,Special promotions or discounts.,Agree,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,6,Shrimp,"There are good options to pick from ",,1st Year,Male,,B,B,Unknown,,
2024-11-08 11:06:08,2024-11-08 11:08:16,IP Address,100,127,True,2024-11-08 11:08:16,R_5RPQiIhHQgdvX9v,anonymous,EN,Agree,Opportunities to try a wider variety of food options.,Neither agree nor disagree,No,Somewhat agree,Somewhat agree,Somewhat agree,13,3 grilled chicken tacos,Only one option really stood out to me which was the grilled chciken,2,1st Year,Male,,A,A,Unknown,,
2024-11-08 11:06:12,2024-11-08 11:08:30,IP Address,100,138,True,2024-11-08 11:08:31,R_523TBlWhPtgPNGL,anonymous,EN,Somewhat agree,Opportunities to try a wider variety of food options.,Somewhat agree,No,Somewhat disagree,Strongly agree,Somewhat agree,10,2 Carne Tacos,"I feel like the options on Tacovores’s menu are good but would prefer the tacos to be probably $1 less. ",3,1st Year,Male,,A,B,Unknown,,
2024-11-08 11:06:11,2024-11-08 11:08:35,IP Address,100,144,True,2024-11-08 11:08:36,R_50GeFOspMSk2ACF,anonymous,EN,Somewhat disagree,Community interaction online.,Somewhat agree,Yes,Somewhat agree,Strongly agree,Somewhat agree,13,3 tacos,They look good.,2,1st Year,Male,,B,A,Unknown,,
2024-11-08 11:06:14,2024-11-08 11:09:04,IP Address,100,169,True,2024-11-08 11:09:04,R_1Qiiu37seK2ESFb,anonymous,EN,Somewhat agree,Special promotions or discounts.,Neither agree nor disagree,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,8,Grilled Chicken,I messed with it thought it had good items I would consider,3,1st Year,Male,,B,B,Unknown,,
2024-11-08 11:06:42,2024-11-08 11:10:21,IP Address,100,218,True,2024-11-08 11:10:21,R_5gRxjzNkKLjggtK,anonymous,EN,Agree,Seeing a targeted advertisement on social media.,Somewhat agree,No,Somewhat agree,Somewhat agree,Somewhat agree,15,"Shrimp, Grilled Chicken, Carne Asada ",I think that their are a good amount of options and variety,2,1st Year,Male,,A,A,Unknown,,
2024-11-08 11:11:26,2024-11-08 11:13:55,IP Address,100,149,True,2024-11-08 11:13:56,R_794E93mRWJ18VGg,anonymous,EN,Disagree,Special promotions or discounts.,Somewhat agree,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,8,2 grilled chick,"I would want to be able to buy 2 tacos for 7-8 bucks or less ",0,1st Year,Male,,A,B,Unknown,,
2024-11-08 11:10:25,2024-11-08 11:14:22,IP Address,100,237,True,2024-11-08 11:14:23,R_146DUW1AqCRYV69,anonymous,EN,Somewhat disagree,Seeing a targeted advertisement on social media.,Neither agree nor disagree,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,15,"Carnitas, chicken, and steak tacos",It all sounds good but visuals would probably make it look even more appetizing.,2,1st Year,Male,,B,B,Unknown,,
2024-11-08 11:31:25,2024-11-08 11:33:28,IP Address,100,122,True,2024-11-08 11:33:29,R_7bH7pkcIDMWVJJD,anonymous,EN,Strongly agree,Opportunities to try a wider variety of food options.,Neither agree nor disagree,No,Somewhat disagree,Somewhat agree,Somewhat agree,26,6 tacos,lots of options,5,3rd Year,Male,,B,A,Unknown,,
2024-11-08 12:33:01,2024-11-08 12:35:48,IP Address,100,167,True,2024-11-08 12:35:50,R_1dtNHCfFekBAoVE,anonymous,EN,Somewhat agree,Opportunities to try a wider variety of food options.,Neither agree nor disagree,No,Neither agree nor disagree,Somewhat agree,Somewhat agree,13,Mix & Match,Nive wide variety of options with good pricing.,1,4th Year,Male,,A,A,Unknown,,
2024-11-08 12:40:58,2024-11-08 12:43:41,IP Address,100,163,True,2024-11-08 12:43:42,R_1R8S0wJB82QAXtU,anonymous,EN,Neither agree nor disagree,Special promotions or discounts.,Agree,Yes,Somewhat agree,Strongly agree,Somewhat agree,5,Pork chorizo,"Good variety, not to many options but a good variety of options.  Great price",1,4th Year,Female,,B,B,Unknown,,
2024-11-08 12:43:46,2024-11-08 12:48:31,IP Address,100,284,True,2024-11-08 12:48:32,R_5tZ3hL7Hn3I8eoF,anonymous,EN,Somewhat agree,Special promotions or discounts.,Agree,No,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,15,E x 2 and then B,"I think there’s a diverse set of options and there’s something that’ll appeal to everyone ",1,4th Year,Female,,B,B,Unknown,,
2024-11-08 12:46:31,2024-11-08 12:49:56,IP Address,100,205,True,2024-11-08 12:49:56,R_7f7Y9xuul6U4WzL,anonymous,EN,Strongly agree,Special promotions or discounts.,Somewhat disagree,No,Strongly disagree,Strongly disagree,Strongly disagree,,"Carnitas ",It seems like the entrees are very simple. I would still get the items but I wouldn’t have any excitement when I get the food.,1,4th Year,Female,,B,B,Unknown,,
2024-11-08 12:44:57,2024-11-08 12:52:02,IP Address,100,425,True,2024-11-08 12:52:03,R_6lc08ZyIcbPsA81,anonymous,EN,Agree,Special promotions or discounts.,Disagree,No,Strongly disagree,Somewhat disagree,Somewhat disagree,13,Mix-&-Match Any 3 Tacos,Several options sound tasty and the 3 for $13 is a pretty good deal.,3,3rd Year,Male,,A,A,Unknown,,
2024-11-08 12:33:16,2024-11-08 12:58:28,IP Address,100,1511,True,2024-11-08 12:58:28,R_5jH6Tj58QOWqWPb,anonymous,EN,Somewhat disagree,Special promotions or discounts.,Somewhat agree,No,Somewhat agree,Somewhat agree,Somewhat agree,13,"3 tacos ","I feel like they provide a lot of good options at a good price, especially with the 3 for $13 deal.",2,4th Year,Female,,A,A,Unknown,,
2024-11-08 12:56:40,2024-11-08 12:59:34,IP Address,100,174,True,2024-11-08 12:59:34,R_7BmYFHgzZB1uG2J,anonymous,EN,Agree,Community interaction online.,Neither agree nor disagree,No,Strongly agree,Strongly disagree,Somewhat agree,15,Carne Asada,"I kinda like the menu options, I just feel like the options are limited.",5,4th Year,Male,,A,A,Unknown,,
2024-11-08 13:00:48,2024-11-08 13:05:45,IP Address,100,297,True,2024-11-08 13:05:46,R_3rBff4At1qxNpGj,anonymous,EN,Somewhat agree,Special promotions or discounts.,Somewhat disagree,No,Somewhat agree,Strongly agree,Neither agree nor disagree,14,"G, k",Loos pretty good. On only one item you mention it comes in a hard taco shell but do the rest?,2,3rd Year,Male,,B,B,Unknown,,
2024-11-08 13:03:58,2024-11-08 13:05:48,IP Address,100,110,True,2024-11-08 13:05:49,R_5gLZg7Z7LNyNrPB,anonymous,EN,Disagree,Special promotions or discounts.,Somewhat agree,Yes,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,15,"Mushroom, Carne Asada",I think it shows a diverse menu with stuff for everyone,4,4th Year,Male,,B,A,Unknown,,
2024-11-08 13:01:49,2024-11-08 13:16:02,IP Address,100,852,True,2024-11-08 13:16:02,R_70xunOr5vjMAstP,anonymous,EN,Somewhat disagree,Special promotions or discounts.,Somewhat disagree,No,Somewhat agree,Somewhat agree,Somewhat agree,13,"carne asada, grilled chicken, pork chorizo",Looks pretty solid to me,7,1st Year,Male,,A,A,Unknown,,
2024-11-08 13:19:23,2024-11-08 13:23:21,IP Address,100,237,True,2024-11-08 13:23:21,R_11yp6cLAavDeeE2,anonymous,EN,Strongly agree,Opportunities to try a wider variety of food options.,Neither agree nor disagree,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,15,2 carnitas tacos and a pork chorizo taco,"I would say it’s stale, I’ve been going to Tacovore since freshman year and the menu has not changed. ",1,4th Year,Male,,A,B,Unknown,,
2024-11-08 13:01:15,2024-11-08 13:26:09,IP Address,100,1494,True,2024-11-08 13:26:09,R_5qwIkwvFRFawpZ7,anonymous,EN,Somewhat agree,Special promotions or discounts.,Somewhat disagree,No,Neither agree nor disagree,Strongly agree,Somewhat agree,15,3 carne asadas,"I feel like there’s a good amount of options here that would be delicious. One thing is the menu lacks any intrigue to try something new.  ",3,4th Year,Male,,B,A,Unknown,,
2024-11-08 13:27:38,2024-11-08 13:29:37,IP Address,100,118,True,2024-11-08 13:29:37,R_6rtcMRX6765KGkN,anonymous,EN,Strongly agree,Opportunities to try a wider variety of food options.,Strongly disagree,No,Strongly disagree,Neither agree nor disagree,Strongly disagree,20,"Quesadilla ",Affordable options,3,4th Year,Female,,B,B,Unknown,,
2024-11-08 13:36:30,2024-11-08 13:40:23,IP Address,100,233,True,2024-11-08 13:40:24,R_5qwWEqjprhVKH9K,anonymous,EN,Somewhat agree,Opportunities to try a wider variety of food options.,Strongly disagree,No,Neither agree nor disagree,Strongly agree,Somewhat agree,15,"1 Carnitas and 2 carne asada ",They have a wide variety and good options,3,4th Year,Female,,A,A,Unknown,,
2024-11-08 14:03:26,2024-11-08 14:06:49,IP Address,100,202,True,2024-11-08 14:06:49,R_5i8LovX9O0S6SvF,anonymous,EN,Agree,Seeing a targeted advertisement on social media.,Neither agree nor disagree,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,15,I would get grilled chicken and carne asada tacos,The menu looks very solid. It’s appealing and has a lot of options.,1,1st Year,Male,,B,B,Unknown,,
2024-11-08 12:40:45,2024-11-08 14:34:14,IP Address,100,6809,True,2024-11-08 14:34:15,R_7CeFWnBrA4DQidi,anonymous,EN,Agree,Special promotions or discounts.,Somewhat agree,Yes,Somewhat disagree,Somewhat agree,Neither agree nor disagree,15,Carne asada,"I think that they have great options and I have heard great reviews from friends about the restaurant ",2,4th Year,Female,,A,A,Unknown,,
2024-11-08 16:36:19,2024-11-08 16:38:41,IP Address,100,141,True,2024-11-08 16:38:42,R_3Yd0n6VMa3Gbx6N,anonymous,EN,Somewhat disagree,Special promotions or discounts.,Somewhat agree,No,Somewhat disagree,Somewhat agree,Neither agree nor disagree,15,Grilled chicken and tofu,"I think the options are good they all kind of sound the same though and it makes it hard to choose. ",3,3rd Year,Female,,B,B,Unknown,,
2024-11-10 16:30:28,2024-11-10 16:34:12,IP Address,100,223,True,2024-11-10 16:34:12,R_3f7qXlyQRcKF4xs,anonymous,EN,Somewhat agree,Community interaction online.,Somewhat disagree,No,Somewhat disagree,Somewhat disagree,Somewhat disagree,13,"K, C, A","It seems to have good options both meat and vegan ",1,1st Year,Female,,A,A,Unknown,,
2024-11-10 16:31:57,2024-11-10 16:35:19,IP Address,100,201,True,2024-11-10 16:35:20,R_1XmNTTJNJRLd8kZ,anonymous,EN,Somewhat agree,Special promotions or discounts.,Somewhat disagree,No,Somewhat disagree,Somewhat agree,Neither agree nor disagree,5,"Grilled chicken ",Lots of variety but I’m basic and picky,0,1st Year,Other,,B,B,Unknown,,
2024-11-10 16:41:21,2024-11-10 16:44:00,IP Address,100,158,True,2024-11-10 16:44:01,R_5n7NFhu00IKbrsB,anonymous,EN,Somewhat disagree,Opportunities to try a wider variety of food options.,Somewhat agree,No,Neither agree nor disagree,Somewhat agree,Somewhat agree,5,carnitas,,1,1st Year,Female,,A,B,Unknown,,
2024-11-10 16:31:14,2024-11-10 17:03:26,IP Address,100,1932,True,2024-11-10 17:03:28,R_5mwM9oQNaIKHcbs,anonymous,EN,Disagree,Opportunities to try a wider variety of food options.,Somewhat agree,No,Neither agree nor disagree,Somewhat agree,Somewhat agree,30,Pescado,They are diverse but a bit costly.,4,1st Year,Female,,A,A,Unknown,,
2024-11-10 22:22:30,2024-11-10 22:25:43,IP Address,100,193,True,2024-11-10 22:25:43,R_6NlDnh17a904WNb,anonymous,EN,Somewhat agree,Community interaction online.,Somewhat disagree,Yes,Strongly disagree,Neither agree nor disagree,Somewhat disagree,13,Pork Chorizo,"There is a huge variety of options and the tacos look cheap, so I feel good about the options. ",2,1st Year,Male,,B,A,Unknown,,
2024-11-11 01:11:12,2024-11-11 01:13:38,IP Address,100,145,True,2024-11-11 01:13:38,R_7Ocafjf1IdgesA3,anonymous,EN,Neither agree nor disagree,Opportunities to try a wider variety of food options.,Somewhat agree,No,Somewhat disagree,Somewhat agree,Somewhat agree,10,carne asada and pescado,Looks pretty good to me,2,1st Year,Male,,A,B,Unknown,,
2024-11-12 15:37:14,2024-11-12 15:39:34,IP Address,100,140,True,2024-11-12 15:39:35,R_7CpA8pnTuJFxy1T,anonymous,EN,Somewhat agree,Opportunities to try a wider variety of food options.,Disagree,No,Somewhat disagree,Somewhat disagree,Somewhat disagree,15,ADI,"I like that there’s meat, seafood, and non meat options ",3,1st Year,Female,,B,A,Unknown,,
